Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,47.619999,47.950001,47.070000,47.820000,46.743771,16564300
2019-07-09,47.360001,47.799999,47.130001,47.750000,46.675346,17853200
2019-07-10,47.919998,48.610001,47.900002,48.209999,47.124992,16032300
2019-07-11,48.560001,48.779999,48.310001,48.599998,47.506214,16615100
2019-07-12,49.000000,49.930000,48.810001,49.919998,48.796505,20148700
2019-07-15,50.000000,50.250000,49.770000,50.119999,48.992004,14345100
2019-07-16,49.910000,50.000000,48.959999,49.169998,48.063385,17131400
2019-07-17,49.500000,49.700001,49.240002,49.389999,48.278439,11928600
2019-07-18,49.279999,49.990002,48.889999,49.939999,48.816055,15679600
2019-07-19,49.959999,50.660000,49.910000,50.270000,49.138634,29141100
2019-07-22,50.009998,51.520000,49.889999,51.349998,50.194328,21688000
2019-07-23,52.000000,52.000000,51.299999,51.750000,50.585323,18413500
2019-07-24,51.980000,52.970001,51.799999,52.919998,51.728989,20896400
2019-07-25,52.509998,52.599998,51.880001,52.160000,50.986095,27765400
2019-07-26,52.689999,53.500000,51.529999,51.590000,50.428925,36401500
2019-07-29,51.529999,52.560001,50.779999,52.509998,51.328220,21897500
2019-07-30,51.709999,52.310001,51.560001,51.700001,50.536446,16487700
2019-07-31,51.509998,51.720001,50.049999,50.549999,49.412327,24169800
2019-08-01,50.520000,51.889999,49.470001,49.500000,48.385960,34020800
2019-08-02,49.090000,49.360001,48.500000,48.680000,47.584419,27881600
2019-08-05,47.759998,47.959999,46.570000,46.970001,45.912903,38936600
2019-08-06,47.150002,47.560001,46.770000,46.959999,46.213051,26119600
2019-08-07,46.299999,46.880001,45.970001,46.730000,45.986710,29440400
2019-08-08,46.160000,47.369999,45.910000,47.169998,46.419708,30643700
2019-08-09,46.939999,47.000000,45.779999,45.980000,45.248638,24975500
2019-08-12,45.759998,46.070000,45.439999,45.599998,44.874676,18490300
2019-08-13,45.490002,47.049999,45.360001,46.840000,46.094959,28959500
2019-08-14,46.060001,46.630001,45.650002,45.869999,45.140388,25650200
2019-08-15,46.099998,46.180000,45.439999,45.700001,44.973091,21896000
2019-08-16,46.340000,46.680000,46.060001,46.500000,45.760368,22701800
2019-08-19,47.459999,47.599998,47.040001,47.230000,46.478752,21403600
2019-08-20,47.029999,47.119999,46.459999,46.599998,45.858776,23113300
2019-08-21,47.110001,47.290001,46.889999,47.150002,46.400028,15915000
2019-08-22,47.279999,47.430000,46.689999,46.779999,46.035912,19783000
2019-08-23,46.349998,46.630001,44.799999,44.959999,44.244862,32814000
2019-08-26,45.820000,45.820000,45.250000,45.560001,44.835320,22080500
2019-08-27,45.869999,46.119999,45.500000,45.790001,45.061661,16925500
2019-08-28,45.700001,45.910000,45.369999,45.790001,45.061661,14888800
2019-08-29,46.459999,47.220001,46.400002,46.869999,46.124481,17803800
2019-08-30,47.240002,47.790001,47.160000,47.410000,46.655891,16922600
2019-09-03,47.119999,47.220001,46.500000,46.980000,46.232731,15003800
2019-09-04,47.560001,48.950001,47.540001,48.919998,48.141872,23450700
2019-09-05,49.930000,51.169998,49.869999,50.099998,49.303104,30014200
2019-09-06,50.250000,50.990002,50.070000,50.919998,50.110058,17067900
2019-09-09,51.060001,52.029999,51.020000,51.590000,50.769405,20749700
2019-09-10,51.330002,51.840000,50.830002,51.820000,50.995747,18532000
2019-09-11,51.599998,52.790001,51.380001,52.790001,51.950317,18968900
2019-09-12,53.000000,53.330002,52.070000,53.009998,52.166817,23308700
2019-09-13,52.759998,53.000000,52.230000,52.540001,51.704296,18010800
2019-09-16,51.900002,52.290001,51.700001,52.200001,51.369705,13354600
2019-09-17,52.049999,52.139999,51.349998,51.950001,51.123680,19641100
2019-09-18,52.130001,52.130001,51.160000,51.740002,50.917023,14906800
2019-09-19,51.700001,51.990002,51.500000,51.570000,50.749722,11428400
2019-09-20,51.599998,51.880001,50.560001,50.720001,49.913242,37067900
2019-09-23,50.830002,51.230000,50.389999,50.900002,50.090385,18916600
2019-09-24,51.099998,51.180000,49.639999,49.820000,49.027557,28197400
2019-09-25,49.750000,51.209999,49.419998,51.020000,50.208473,19486700
2019-09-26,50.980000,51.150002,50.340000,50.919998,50.110058,11351800
2019-09-27,50.630001,51.220001,50.340000,50.779999,49.972286,14845700
2019-09-30,51.189999,51.599998,50.939999,51.529999,50.710358,13652100
2019-10-01,51.970001,52.240002,50.430000,50.759998,49.952606,18413100
2019-10-02,50.310001,50.369999,48.980000,49.389999,48.604397,20078700
2019-10-03,49.500000,50.070000,48.529999,50.029999,49.234215,16320100
2019-10-04,50.349998,50.970001,50.029999,50.919998,50.110058,12644900
2019-10-07,50.700001,51.230000,50.560001,50.619999,49.814831,12081400
2019-10-08,50.160000,50.480000,49.610001,49.730000,48.938992,17409100
2019-10-09,50.470001,50.790001,50.150002,50.480000,49.677059,11834900
2019-10-10,50.410000,51.779999,50.400002,51.110001,50.297039,13907900
2019-10-11,52.000000,52.790001,51.820000,52.090000,51.261452,24072500
2019-10-14,51.900002,51.950001,51.439999,51.639999,50.818607,15016800
2019-10-15,51.930000,53.070000,51.830002,52.650002,51.812546,18878100
2019-10-16,52.349998,52.560001,52.119999,52.450001,51.615726,14769300
2019-10-17,52.639999,52.840000,51.380001,51.860001,51.035114,16533900
2019-10-18,51.750000,51.820000,51.029999,51.360001,50.543064,16974100
2019-10-21,51.520000,52.169998,51.340000,52.130001,51.300816,12189000
2019-10-22,51.900002,52.320000,51.889999,52.009998,51.182724,13114300
2019-10-23,51.369999,51.959999,51.200001,51.720001,50.897335,15887500
2019-10-24,52.090000,52.430000,51.430000,52.230000,51.399223,23413000
2019-10-25,54.189999,56.610001,53.919998,56.459999,55.561943,59767700
2019-10-28,56.380001,56.810001,56.060001,56.759998,55.857170,32307500
2019-10-29,56.369999,57.240002,56.240002,56.340000,55.443851,18155800
2019-10-30,56.320000,56.630001,55.619999,56.599998,55.699715,15248000
2019-10-31,56.330002,56.599998,55.619999,56.529999,55.630825,19249700
2019-11-01,55.939999,56.650002,55.619999,56.509998,55.611149,17953500
2019-11-04,56.930000,57.799999,56.849998,57.610001,56.693653,19068000
2019-11-05,57.470001,58.349998,57.209999,57.549999,56.634605,20865400
2019-11-06,57.490002,57.709999,56.980000,57.599998,56.995773,17721000
2019-11-07,58.000000,58.549999,57.860001,58.049999,57.441055,16962800
2019-11-08,57.849998,58.299999,57.310001,58.270000,57.658749,11888900
2019-11-11,57.970001,58.500000,57.900002,58.349998,57.737904,11228900
2019-11-12,58.400002,58.799999,58.029999,58.200001,57.589481,11952500
2019-11-13,57.869999,57.970001,57.349998,57.889999,57.282734,15332700
2019-11-14,57.610001,58.040001,57.570000,57.810001,57.203575,12119000
2019-11-15,58.169998,58.700001,57.619999,57.959999,57.351997,16112100
2019-11-18,57.700001,58.480000,57.570000,58.250000,57.638958,16097500
2019-11-19,58.480000,58.650002,57.750000,58.349998,57.737904,17061900
2019-11-20,58.259998,58.360001,57.369999,57.900002,57.292629,18542300
2019-11-21,57.490002,58.299999,57.410000,58.220001,57.609272,16139000
2019-11-22,58.340000,58.650002,57.490002,57.610001,57.005672,15690200
2019-11-25,58.000000,58.840000,58.000000,58.810001,58.193081,15011700
2019-11-26,58.950001,59.130001,58.450001,58.900002,58.282143,22338700
2019-11-27,58.529999,58.590000,57.910000,58.509998,57.896229,18184200
2019-11-29,58.150002,58.299999,57.790001,58.049999,57.441055,9481100
2019-12-02,58.549999,58.689999,57.470001,57.660000,57.055149,19154500
2019-12-03,56.860001,56.860001,55.750000,56.070000,55.481823,25737400
2019-12-04,56.660000,56.660000,55.860001,56.020000,55.432350,18881400
2019-12-05,56.410000,56.410000,55.759998,56.080002,55.491722,17673700
2019-12-06,56.660000,56.990002,56.419998,56.810001,56.214066,16476800
2019-12-09,56.540001,56.959999,56.500000,56.529999,55.936996,14298600
2019-12-10,56.709999,56.830002,56.439999,56.590000,55.996368,16157900
2019-12-11,56.910000,57.169998,56.580002,57.070000,56.471336,20051100
2019-12-12,56.750000,58.049999,56.610001,57.549999,56.946301,27883300
2019-12-13,57.549999,58.340000,57.380001,57.790001,57.183784,22795200
2019-12-16,58.209999,58.570000,57.650002,57.700001,57.094727,19131200
2019-12-17,58.000000,58.099998,57.130001,57.299999,56.698921,21653100
2019-12-18,57.389999,57.459999,56.939999,57.169998,56.570282,28261000
2019-12-19,57.169998,57.990002,56.970001,57.959999,57.351997,18865100
2019-12-20,58.320000,59.049999,57.889999,58.950001,58.331612,49953000
2019-12-23,59.060001,59.779999,59.040001,59.230000,58.608677,23593000
2019-12-24,59.250000,59.480000,59.160000,59.410000,58.786789,6313200
2019-12-26,59.410000,59.849998,59.349998,59.820000,59.192490,11480300
2019-12-27,59.910000,60.480000,59.900002,60.080002,59.449764,14085800
2019-12-30,59.990002,60.049999,59.380001,59.619999,58.994587,12750500
2019-12-31,59.619999,59.930000,59.360001,59.849998,59.222172,14432900
2020-01-02,60.240002,60.970001,60.220001,60.840000,60.201786,18056000
2020-01-03,59.810001,60.700001,59.810001,60.099998,59.469547,15293900
2020-01-06,59.590000,60.200001,59.330002,59.930000,59.301331,17755200
2020-01-07,59.779999,59.799999,58.889999,58.930000,58.311825,21876100
2020-01-08,58.889999,59.320000,58.520000,58.970001,58.351406,23133500
2020-01-09,59.049999,59.509998,58.830002,59.299999,58.677944,18813300
2020-01-10,59.570000,60.080002,58.869999,58.939999,58.321716,15200600
2020-01-13,59.169998,59.779999,59.080002,59.590000,58.964901,16453300
2020-01-14,59.490002,59.740002,59.189999,59.430000,58.806580,17051200
2020-01-15,59.299999,59.650002,58.750000,58.939999,58.321716,18498800
2020-01-16,59.259998,59.840000,59.070000,59.660000,59.034164,21365500
2020-01-17,59.980000,60.000000,59.240002,59.599998,58.974792,21803400
2020-01-21,59.810001,61.250000,59.790001,60.549999,59.914829,28358500
2020-01-22,61.040001,62.849998,60.970001,62.730000,62.071960,29475100
2020-01-23,62.860001,63.709999,62.810001,63.320000,62.655773,42778700
2020-01-24,66.570000,69.290001,66.459999,68.470001,67.751747,84711000
2020-01-27,66.720001,67.419998,65.599998,65.690002,65.000916,30764000
2020-01-28,66.500000,67.580002,65.940002,67.309998,66.603912,30915400
2020-01-29,67.629997,68.059998,66.169998,66.330002,65.634201,18055800
2020-01-30,65.639999,66.500000,64.930000,66.470001,65.772728,18522400
2020-01-31,65.800003,65.980003,63.669998,63.930000,63.259373,25268400
2020-02-03,64.459999,65.040001,64.300003,64.419998,63.744232,16654600
2020-02-04,65.769997,66.059998,64.919998,65.459999,64.773323,20970800
2020-02-05,66.690002,67.599998,66.129997,67.339996,66.633598,23401400
2020-02-06,67.300003,67.400002,66.769997,67.089996,66.713150,17408000
2020-02-07,66.860001,67.300003,66.010002,66.019997,65.649162,18134600
2020-02-10,65.559998,66.400002,65.440002,66.389999,66.017082,22299300
2020-02-11,66.830002,67.709999,66.570000,67.410004,67.031357,17975600
2020-02-12,67.599998,68.089996,67.309998,67.459999,67.081078,15586600
2020-02-13,66.989998,67.650002,66.739998,67.440002,67.061188,11602700
2020-02-14,67.519997,67.860001,66.820000,67.269997,66.892143,13405500
2020-02-18,66.660004,66.690002,65.879997,66.139999,65.768486,12758400
2020-02-19,66.389999,67.199997,66.180000,67.110001,66.733040,13551200
2020-02-20,67.040001,67.290001,64.559998,65.449997,65.082359,26452600
2020-02-21,65.180000,65.250000,64.040001,64.339996,63.978596,20775900
2020-02-24,61.610001,62.770000,61.320000,61.759998,61.413090,26903100
2020-02-25,61.990002,62.279999,59.459999,59.730000,59.394493,34495700
2020-02-26,60.110001,60.820000,59.270000,59.650002,59.314945,26190100
2020-02-27,57.930000,58.509998,55.799999,55.830002,55.516403,42208600
2020-02-28,54.299999,56.380001,53.599998,55.520000,55.208145,60728000
2020-03-02,55.790001,58.220001,54.520000,58.180000,57.853203,43140300
2020-03-03,58.029999,59.020000,55.400002,55.970001,55.655617,49740300
2020-03-04,57.009998,58.709999,56.160000,58.680000,58.350395,29223100
2020-03-05,57.060001,58.660000,56.610001,56.959999,56.640053,29099200
2020-03-06,55.180000,56.009998,54.540001,55.770000,55.456738,36259200
2020-03-09,51.919998,52.709999,50.000000,50.849998,50.564373,56197000
2020-03-10,52.759998,54.000000,50.430000,53.980000,53.676792,36569000
2020-03-11,52.389999,53.540001,51.009998,51.660000,51.369823,38563500
2020-03-12,47.990002,50.090000,45.369999,45.540001,45.284203,50661700
2020-03-13,48.259998,55.000000,47.740002,54.430000,54.124268,48805100
2020-03-16,47.509998,52.250000,43.630001,44.610001,44.359425,53878900
2020-03-17,45.759998,51.630001,45.200001,50.080002,49.798702,52085200
2020-03-18,46.709999,50.049999,45.200001,47.610001,47.342575,49309900
2020-03-19,47.840000,49.230000,45.160000,45.939999,45.681953,44538000
2020-03-20,46.509998,49.419998,45.470001,45.830002,45.572575,52344000
2020-03-23,46.020000,50.490002,45.910000,49.580002,49.301510,46698500
2020-03-24,53.139999,54.639999,51.349998,52.400002,52.105671,50019800
2020-03-25,52.480000,53.790001,49.910000,51.259998,50.972069,41106100
2020-03-26,51.740002,55.950001,51.660000,55.540001,55.228031,41459800
2020-03-27,53.419998,54.639999,52.070000,52.369999,52.075836,31633500
2020-03-30,52.990002,56.099998,52.830002,55.490002,55.178314,31628600
2020-03-31,55.060001,55.799999,53.220001,54.119999,53.816006,48074700
2020-04-01,52.500000,54.689999,51.430000,51.880001,51.588589,29586600
2020-04-02,51.290001,54.560001,51.220001,54.349998,54.044712,27810000
2020-04-03,53.849998,55.130001,52.730000,54.130001,53.825951,23906100
2020-04-06,56.630001,58.770000,56.119999,58.430000,58.101799,32323400
2020-04-07,59.939999,61.490002,58.209999,58.400002,58.071968,41410000
2020-04-08,58.990002,59.509998,57.910000,58.980000,58.648708,26719500
2020-04-09,59.360001,59.720001,56.060001,57.139999,56.819042,40515400
2020-04-13,56.570000,58.770000,56.570000,58.700001,58.370281,23251900
2020-04-14,60.040001,60.900002,59.509998,60.660000,60.319271,25674000
2020-04-15,59.740002,59.830002,58.389999,58.869999,58.539326,22841600
2020-04-16,59.610001,60.959999,58.810001,60.790001,60.448544,24433500
2020-04-17,62.020000,62.130001,59.830002,60.360001,60.020958,27385600
2020-04-20,59.279999,60.040001,58.889999,59.180000,58.847584,26420300
2020-04-21,58.110001,58.599998,55.930000,56.360001,56.043427,25248000
2020-04-22,58.270000,60.500000,57.810001,60.099998,59.762417,23443700
2020-04-23,59.669998,60.099998,58.810001,59.040001,58.708370,35092000
2020-04-24,56.200001,59.400002,56.099998,59.259998,58.927135,50220500
2020-04-27,59.720001,59.830002,58.389999,59.470001,59.135956,25902200
2020-04-28,59.990002,60.220001,58.259998,58.750000,58.419998,28784700
2020-04-29,59.439999,62.029999,59.320000,61.799999,61.452866,30451500
2020-04-30,61.369999,61.540001,59.750000,59.980000,59.643089,26256000
2020-05-01,58.830002,59.320000,57.310001,57.470001,57.147190,21194800
2020-05-04,57.119999,58.070000,56.310001,57.990002,57.664272,18957200
2020-05-05,58.790001,59.299999,58.349998,58.750000,58.419998,17252100
2020-05-06,59.040001,59.950001,58.939999,59.180000,59.180000,17848700
2020-05-07,59.930000,60.099998,58.919998,59.169998,59.169998,14733500
2020-05-08,59.669998,59.779999,59.049999,59.669998,59.669998,20391100
2020-05-11,59.740002,60.840000,59.709999,60.130001,60.130001,18684400
2020-05-12,60.220001,60.639999,58.259998,58.389999,58.389999,16754900
2020-05-13,58.450001,59.230000,56.900002,57.740002,57.740002,21065000
2020-05-14,57.320000,59.150002,56.099998,59.080002,59.080002,21569400
